"","chr","pos","treat_logp","founder_logp","interaction_logp"
"1","chrX",9976075,0.0926698208850775,11.7463004230796,0.129763559509678
"2","chrX",17336075,0.0435652622920945,8.33990720715878,0.232471876676087
"3","chrX",17636075,0.087740428274537,9.17906825615089,0.360753320128236
"4","chrX",17936075,0.0370314328125331,10.3200365765652,0.842588549830211
"5","chr2L",8770610,0.00969169107197829,10.1520577388702,0.0182150751788189
"6","chr2L",13310610,0.330689204424345,13.3588780607235,0.223060815293114
"7","chr2R",8128099,0.0102956494033031,11.5276863396364,0.0776460883091806
"8","chr2R",10208099,0.100563475781807,10.9599556654793,0.601334985601284
"9","chr2R",14368099,0.0359714037015515,11.2855346119748,1.62336071392163
"10","chr3L",16428478,0.0314256488497309,11.7192692008657,0.00471523375037138
