"","chr","pos","founder_logp","nested_treat_logp"
"1","chrX",10716075,12.6245680993412,1.3282741914875
"2","chrX",16456075,8.13942731464136,0.0509439063928546
"3","chr2L",17970610,13.9416955961684,0.679252900535251
"4","chr2R",3108099,12.5898244783057,0.271437294524139
"5","chr2R",6648099,12.8897586568601,0.518163603035357
"6","chr2R",8248099,11.5844227163103,0.028053464609005
"7","chr3L",24468478,12.1267228354197,0.361102536334842
"8","chr3R",7747353,9.68736404712745,0.0458086019285858
"9","chr3R",20167353,10.1143767882486,0.335160520645814
"10","chr3R",26467353,9.41617981409593,0.312961341937344
