"","chr","pos","treat_logp","founder_logp","interaction_logp","founder_logp2","nested_treat_logp"
"1","chr2L",3650610,0.165197430271548,8.31370545796544,0.491585892660713,8.31370545796544,0.407551349366445
"2","chr2R",5108099,0.110139138924915,14.2787949709377,0.713159520821296,14.2787949709377,0.601203275009436
"3","chr2R",9208099,0.0247335657370571,11.755595877869,1.30683424765741,11.755595877869,1.14967991936994
"4","chr2R",16448099,0.206621580766706,13.9663420408423,0.852833647389789,13.9663420408423,0.743155043154108
"5","chr2R",25048099,0.0607568499946892,13.0019300241464,1.92136129002589,13.0019300241464,1.73975120313661
"6","chr3L",10168478,0.158742212875664,13.9889624957766,0.43747418541308,13.9889624957766,0.358537992013881
"7","chr3L",15908478,0.141394564213856,10.5124110915756,0.365416653653045,10.5124110915756,0.293006857329956
"8","chr3L",15988478,0.118029423277631,9.73629850588622,0.281774185773865,9.73629850588622,0.218352731308462
"9","chr3L",16528478,0.0459833023643764,11.4504774484694,0.00508063528009166,11.4504774484694,0.00222961932172748
"10","chr3R",19727353,0.203504775352896,10.125047567206,0.426069348616551,10.125047567206,0.354849695968912
